was;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: Setembro/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até:27/11/2014
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ; ;
51011;B-I;VOTORANTIM;C;2;;201409;SAO PAULO;SP;95.557.538;98.735.434;150.291;11.216.508;26.473.324;65.189;1.377;50.942.615;-3.364.536;17.135.646;10.803.535;830.287;1.184.603;432.241;91.052.479;281.702;0;1.785.901;3.244.302;0;5.311.904;24.414.618;12.718.013;10.981.928;23.699.941;1.666;25.537;6.451.965;1.720.817;29.426.031;7.682.955;7.343.573;135.112;2.959.727;460.745;917.434;385.336;100.628;0;2.334;-2.225.397;-116.532;-463.135;0;-602.786;-594.889;823.465;126.270;141.328;-362.109;-301.972;-112.702;35.911;465.932;-675.614;140.509;-27.176;113.333;71.559;-49.781;135.112;0;14;201409;15,3;3,7;;
30403;B-I;CITIBANK;C;3;;201409;SAO PAULO;SP;59.834.153;61.202.922;812.765;7.119.925;21.585.907;2.798.832;63;11.234.268;-833.311;0;17.460.836;25.309;152.757;845.573;54.290.928;5.475.248;1.235.758;11.096;7.072.070;94.408;13.888.580;8.140.587;493.728;1.317.071;1.810.799;194.670;938.996;4.916.815;4.916.359;19.484.122;6.911.994;6.787.805;-158.047;638.996;27.144;486.248;-1.067;143.073;14.746;0;-469.516;-370.993;-21.162;0;-98;-223.874;223.497;232.050;65.050;-347.581;-283.374;-83.819;7.779;262.370;-333.172;-257.200;-1.031;-258.231;112.641;-12.454;-158.047;0;127;201409;15,2;11,4;;
30173;B-I;BANRISUL;C;1;;201409;PORTO ALEGRE;RS;58.656.365;58.656.365;932.745;28.150;18.283.888;7.014.202;90.898;28.096.611;-1.633.957;11.060;4.685.818;311.023;134.694;712.293;53.236.932;2.963.194;7.583.331;450.516;22.076.416;5.463;33.078.920;5.815.238;1.874.862;919.738;2.794.600;324.281;337.982;3.861.141;25.794;6.998.977;5.419.433;5.391.351;215.346;1.404.063;12.316;467.127;135.883;97.574;166.963;7.922;-928.637;-212.072;-9.122;0;-2.236;-103.940;1.035.841;37.893;166.033;-360.303;-288.276;-65.096;56.719;107.529;-390.009;300.331;-764;299.567;-57.272;-26.946;215.346;0;523;201409;17,2;10,3;;
7237373;B-I;BCO DO NORDESTE DO BRASIL S.A.;I;1;;201409;FORTALEZA;CE;37.916.559;38.060.615;154.738;9.328.553;13.862.370;501.427;0;11.797.083;-825.571;25.856;2.977.643;29.000;0;235.371;34.660.601;227.640;1.794.956;1.292.603;7.203.667;939.356;11.458.223;1.604.965;0;1.609.232;1.609.232;37.707;6.774;3.339.525;0;16.604.175;3.400.014;3.372.898;103.039;441.937;0;607.709;122.908;67.392;6.572;0;-438.428;-441.106;0;0;0;-129.040;237.944;444.767;11.809;-348.903;-235.940;-54.329;0;358.320;-215.335;198.333;3.668;202.001;-85.203;-13.759;103.039;0;283;201409;16,6;3,8;;
20107;B-I;JP MORGAN CHASE;C;3;;201409;SAO PAULO;SP;30.759.825;33.498.231;1.257.576;11.018.973;9.832.047;46.076;5;906.146;-4.321;0;10.271.629;3.513;0;166.586;29.775.803;146.115;0;0;1.382.582;0;1.528.697;2.763.295;0;0;0;2.816;1.306.459;9.029.882;4.115.315;11.029.341;3.722.428;3.579.229;10.515;28.760;0;876.852;46.477;291.613;0;0;-145.620;-918.886;0;0;0;22.140;201.336;95.967;118;-166.947;-59.379;-48.016;0;248.439;-25.904;245.614;-2;245.612;-230.907;-4.190;10.515;0;6;201409;17;2,9;;
51183;B-I;DEUTSCHE;C;3;;201409;SAO PAULO;SP;29.510.868;29.970.228;356.117;2.147.907;2.622.128;157.291;0;2.001.980;-1.860;0;22.645.252;6.797;0;34.616;28.300.062;360.939;0;49.548;1.218.362;0;1.628.848;1.343.120;0;0;0;1.589;136.078;2.051.244;1.161.284;21.977.899;1.670.166;1.670.166;37.495;93.232;0;159.033;146.059;0;0;0;-116.541;-76.521;0;-148.501;0;10.260;67.021;52.942;141;-59.673;-30.593;-5.580;0;42.936;-21.747;45.447;-124;45.323;-7.827;0;37.495;0;1;201409;17,4;2,1;;
30771;B-I;CREDIT SUISSE;C;3;;201409;SAO PAULO;SP;29.569.657;29.708.748;1.536.088;11.006.361;6.460.973;7.025;0;5.370.627;-444.305;0;4.565.890;59.591;0;1.146.500;26.386.986;154.616;0;0;3.618.113;0;3.772.729;8.025.472;217.532;15.333;232.865;0;0;6.910.420;334.170;7.111.330;3.321.762;3.124.157;-49.198;103.125;0;323.348;399.568;56.953;0;0;-421.380;-470.305;0;0;0;-70.447;-79.138;208.217;0;-228.905;-98.520;-30.598;76.679;134.287;-93.656;-111.634;2.464;-109.170;59.970;0;-49.198;0;2;201409;15,8;24,5;;
51516;B-I;BNP PARIBAS;C;3;;201409;SAO PAULO;SP;24.459.446;26.297.166;7.389;4.496.544;5.460.833;159.787;0;5.523.701;-251.660;0;10.212.480;418.604;178.113;91.375;23.478.320;202.983;0;360.941;3.923.649;80.878;4.568.451;3.542.529;2.309.308;47.428;2.356.736;514;61.838;2.325.180;1.679.192;8.943.881;2.818.846;2.764.783;45.971;323.817;35.767;350.600;103.833;86.735;0;0;-252.620;-287.797;-29.970;0;707;-35.073;295.999;52.858;23.611;-76.669;-181.879;-23.195;2.219;85.119;-100.747;77.316;3.265;80.581;-29.686;-4.924;45.971;0;10;201409;14,9;2,9;;
1181521;B-I;BCO COOPERATIVO SICREDI S.A.;I;2;;201409;PORTO ALEGRE;RS;19.312.082;25.916.407;47.874;8.735.410;3.268.613;779.066;2;12.334.572;-17.172;0;645.407;390;0;122.245;24.857.469;46.070;4.346.952;6.629.972;101.991;0;11.124.985;7.495.459;0;89.867;89.867;334;34.757;5.220.046;468;891.553;1.058.938;1.184.396;28.520;206.978;0;348.751;394;8.105;13.351;0;-400.159;-62.322;0;0;0;-478;114.620;8.970;9;-23.139;-54.609;-6.258;2.713;8.296;-4.689;45.913;-30;45.883;-17.362;0;28.520;0;5;201409;15,7;10,3;;
31323;B-I;PANAMERICANO;C;2;;201409;SAO PAULO;SP;24.443.128;25.214.419;21.790;2.370.835;1.508.786;64.037;0;15.240.384;-899.174;156.686;5.005.107;597.645;211.041;1.093.968;21.629.853;157.513;0;8.370.303;2.728.346;0;11.256.162;1.481.944;2.123.569;2.892.218;5.015.787;131.799;292;101.694;26.346;3.615.829;3.584.566;2.505.419;-95.659;827.128;46.925;64.470;105.793;56.036;0;200;-864.451;-7.166;-43.666;0;116.755;-229.582;72.442;13.602;76.727;-56.037;-333.145;-69.117;-18.347;308.084;-136.137;-141.928;-14.664;-156.592;63.846;0;-95.659;0;2;201409;18,1;30,3;;
51750;B-I;BANCOOB;C;2;;201409;BRASILIA;DF;21.212.684;22.910.775;11.575;5.474.244;7.450.123;1.033.446;0;7.936.497;-38.027;0;947.417;23.506;0;71.993;22.190.062;21.238;2.383.984;14.712.236;96.459;0;17.213.917;1.795.300;0;3.770;3.770;610.337;15.612;1.586.520;0;964.606;720.713;720.461;13.632;147.671;0;349.194;0;0;7.333;0;-426.673;-11.429;0;0;0;-2.190;63.906;63.254;22;-18.307;-44.117;-12.636;842;10.718;-41.267;22.415;753;23.168;-8.566;-971;13.632;0;3;201409;13,6;10;;
31859;B-I;SOCIETE GENERALE;C;3;;201409;SAO PAULO;SP;19.499.200;19.749.199;2.846;1.724.969;2.615.762;5.857;0;1.990.278;-164.056;9.161;12.787.355;51.200;688.317;46.671;18.701.642;4.105;0;0;292.879;0;296.984;253.497;0;0;0;803;4.831;4.439.806;1.066.346;12.639.375;1.047.557;1.038.623;12.475;169.716;90.052;82.691;364.736;0;0;0;-8.939;-495.655;-67.475;-4.480;0;-24.637;106.009;5.743;3.475;-26.870;-78.159;-8.028;-1.305;33.904;-24.788;9.981;-320;9.661;2.815;0;12.475;0;3;201409;16,8;4,1;;
41856;B-I;ABC-BRASIL;C;3;;201409;SAO PAULO;SP;19.216.524;19.216.524;85.921;3.115.907;3.788.832;41.009;0;9.660.121;-166.880;0;2.553.782;36.702;0;101.130;17.088.782;49.030;0;383.386;4.111.628;0;4.544.044;25.226;2.899.735;2.219.368;5.119.103;1.359;70.797;4.548.063;255.648;2.524.542;2.127.742;2.126.718;77.946;319.228;0;168.347;162.950;20.267;0;6.812;-347.686;-264.526;0;0;0;-12.906;52.486;41.659;2.999;-37.368;-22.320;-8.620;61.564;38.252;-42.067;86.585;489;87.074;13.967;-23.096;77.946;0;5;201409;14,7;3,6;;
30290;B-I;BMG;C;2;;201409;SAO PAULO;SP;18.656.329;18.656.329;71.946;1.125.830;1.600.672;41.474;12;11.502.825;-743.989;727.296;2.672.939;652.785;3.391;1.728.444;15.095.327;74.308;0;76.804;5.288.449;0;5.439.562;0;1.060.036;1.488.656;2.548.692;1.496;0;462.085;104.335;6.539.157;3.561.002;2.262.587;97.157;865.560;2.090;92.607;257.889;19.883;0;0;-631.583;-9.259;-1.845;0;440.007;-250.923;784.426;7.935;19.680;-48.113;-525.283;-13.512;42.421;35.665;-115.370;187.849;-2.071;185.778;-12.737;0;97.157;0;20;201409;24,2;41,4;;
62232889;B-I;BCO DAYCOVAL S.A;I;2;;201409;SAO PAULO;SP;17.056.788;17.807.764;120.948;2.843.858;1.545.770;166.226;11.204;9.505.445;-455.415;5.671;3.414.382;408.796;0;246.550;15.327.069;325.786;0;305.270;3.345.947;6.924;3.983.927;731.849;3.697.037;3.567.054;7.264.091;12.057;34.351;1.674.776;14.126;1.611.892;2.480.695;2.480.695;51.809;595.252;0;104.249;233.258;78.661;0;0;-576.764;-132.654;0;0;0;-106.424;195.578;7.954;15.710;-50.679;-122.115;-21.991;9.230;89.207;-38.912;83.982;-4.331;79.651;-18.409;-9.434;51.809;0;39;201409;18,8;8,8;;
30159;B-I;BANESTES;C;1;;201409;VITORIA;ES;12.777.329;15.664.593;191.297;4.873.872;4.798.754;844.242;11;3.901.882;-234.793;0;916.041;31.205;129.802;212.279;14.623.546;1.287.622;2.453.596;136.702;4.465.613;0;8.343.534;4.519.637;223.719;167.319;391.038;67.307;21.167;635.929;0;644.933;1.041.046;1.037.408;33.986;207.745;11.702;240.880;0;4.354;9.823;2.510;-284.997;-3.770;-9.030;0;0;-45.763;133.454;46.339;19.400;-73.011;-53.215;-17.829;4.866;9.648;-17.298;52.354;998;53.352;-12.955;-6.410;33.986;0;133;201409;16,4;20,3;;
1023570;B-I;BCO RABOBANK INTL BRASIL S.A.;I;3;;201409;SAO PAULO;SP;14.599.033;15.063.473;39.923;2.736.589;1.755.523;8.296;0;8.315.612;-199.455;0;2.370.405;414;0;36.166;13.777.184;10.939;0;127.243;51.222;0;189.404;460.792;0;2.737.870;2.737.870;4;286.374;8.219.553;64.957;1.818.230;1.286.289;1.285.596;39.913;703.404;0;145.265;19.482;215.591;0;0;-86.017;-816.695;0;0;0;-60.410;120.620;10.980;3.743;-33.053;-19.510;-7.603;2.519;19.470;-26.464;70.702;-24;70.678;-25.695;-5.070;39.913;0;17;201409;15,9;1,7;;
32119;B-I;BIC;C;2;;201409;SAO PAULO;SP;15.044.910;15.044.910;88.107;1.856.552;1.880.197;100.098;0;8.149.761;-989.476;0;2.924.715;435.000;399.893;200.063;13.596.256;218.785;12.768;407.063;6.612.454;584;7.251.654;23.000;164.793;1.615.163;1.779.956;5.177;18.194;2.334.497;9.532;2.174.246;1.448.654;1.398.356;-368.602;388.525;36.538;60.291;161.545;147.366;65;69;-421.099;-192.316;-31.942;0;-3.548;-621.311;-475.817;16.533;6.152;-56.107;-52.666;-12.865;509;18.282;-46.527;-602.506;-49.086;-651.592;282.990;0;-368.602;0;34;201409;14,4;8,7;;
51293;B-I;ALFA;C;2;;201409;SAO PAULO;SP;14.602.388;14.602.388;6.116;877.946;5.083.068;84.549;0;7.164.901;-122.142;612;857.853;24.397;356.774;268.926;12.524.097;19.676;0;287.807;371.785;0;679.268;2.000.000;5.730.693;1.583.034;7.313.727;4.408;8.319;1.390.856;74.966;1.052.553;2.078.292;2.052.045;22.060;263.997;60.355;124.374;27.882;2.120;0;0;-274.112;-30.763;-49.179;0;-2.388;-7.288;114.998;6.944;12.185;-41.668;-25.902;-7.806;4.307;19.623;-49.080;33.601;-133;33.468;-9.420;-1.989;22.060;0;9;201409;19,7;11,6;;
60498557;B-I;BCO TOKYO-MITSUBISHI BM S.A.;I;3;;201409;SAO PAULO;SP;13.561.785;13.717.331;145.581;3.352.252;1.444.279;56.451;0;699.172;-15.654;0;7.973.786;4.494;0;56.970;12.543.679;144.387;0;0;2.022.382;0;2.166.769;154.324;0;0;0;1.725;27.171;2.392.806;328.529;7.472.354;1.173.652;1.173.505;13.903;30.079;0;99.003;134.499;41.635;0;0;-49.320;-208.049;0;0;0;-44;47.803;1.018;226;-25.338;-14.406;-2.510;0;21.460;-3.003;25.250;-5;25.245;-11.343;0;13.903;0;2;201409;39,2;4,9;;
20152;B-I;MERCANTIL DO BRASIL;C;2;;201409;BELO HORIZONTE;MG;12.186.411;13.129.532;263.666;2.747.961;638.711;347.196;4.071;8.144.701;-746.577;1.496.435;1.056.283;414.608;392;258.518;12.359.850;582.900;311.087;95.577;7.175.976;3;8.165.543;943.121;245.520;204.340;449.860;52.387;5.642;55.663;0;2.687.635;769.682;707.162;-30.079;597.349;197;87.784;43.049;9.080;3.855;0;-257.121;-11.809;-177;0;-31.516;-190.850;249.841;14.046;21.175;-82.977;-139.623;-5.071;3.533;20.887;-126.087;-44.276;-3.680;-47.956;21.436;-34;-30.079;0;189;201409;13,7;22,2;;
31976;B-I;BRB;C;1;;201409;BRASILIA;DF;12.105.733;12.446.815;178.521;1.087.590;753.049;679.644;6.840;8.743.783;-399.182;4.695;1.091.523;32.021;0;273.027;11.312.855;808.412;1.666.605;137.539;6.219.279;6.926;8.838.761;341.083;280.899;166.430;447.329;61.585;26;254.448;0;1.369.623;1.133.961;1.087.708;19.228;508.485;0;56.441;0;3.396;6.214;0;-221.020;-1.372;0;0;0;-106.654;245.490;9.952;37.176;-158.920;-98.314;-21.389;13.304;27.142;-42.262;12.179;-3.684;8.495;13.920;-3.188;19.228;0;115;201409;15,5;19,9;;
51413;B-I;MORGAN STANLEY;C;3;;201409;SAO PAULO;SP;8.893.362;12.045.354;630;6.592.916;4.139.596;1;0;0;0;0;1.294.007;162;0;18.043;10.043.448;0;0;0;4.224.420;0;4.224.420;2.386.032;0;0;0;0;0;160.464;1.903.607;1.368.924;2.001.906;1.880.830;55.851;0;0;206.931;14.801;11.754;0;0;-111.645;0;0;0;0;0;121.841;46.612;0;-62.435;-14.277;-7.875;11.460;3.458;-5.146;93.638;0;93.638;-37.787;0;55.851;0;1;201409;24,3;1;;
4902979;B-I;BCO DA AMAZONIA S.A.;I;1;;201409;BELEM;PA;11.463.816;11.463.816;53.443;1.086.641;5.580.516;485.959;992;2.941.928;-73.466;116.538;1.146.512;1.244;0;240.047;9.797.738;777.910;584.942;20.788;1.385.702;577.667;3.347.010;174.998;0;0;0;25.002;3.525;619.289;0;5.627.914;1.666.078;1.599.036;-12.064;97.920;0;184.262;0;4.213;159;0;-68.134;-104.315;0;0;0;-16.698;97.407;103.079;24.285;-109.898;-63.314;-18.325;0;133.679;-127.926;38.987;769;39.756;-51.820;0;-12.064;0;124;201409;13,1;15;;
51255;B-I;BOFA MERRILL LYNCH;C;3;;201409;SAO PAULO;SP;10.514.273;11.092.973;9.866;2.583.945;4.285.237;101.541;21;376.492;-132;0;3.700.928;147;0;34.928;9.756.734;308.903;0;8.856;1.504.375;0;1.822.134;791.593;0;0;0;2.630;5.144;0;3.341.733;3.793.499;1.336.239;1.334.479;6.237;13.194;0;90.243;33.908;12.633;0;0;-56.458;-9.070;0;0;0;69;84.519;93.283;815;-97.408;-28.041;-9.732;0;5.861;-28.895;20.402;-32;20.370;-14.133;0;6.237;0;1;201409;27,9;2,6;;
