50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: setembro/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até: 27/11/2013
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ;;
51011;B-I;VOTORANTIM;C;2;;201309;SAO PAULO;SP;100.781.725;112.445.954;135.525;15.936.001;31.784.615;198.891;0;52.747.301;-3.669.317;15.083.080;11.032.978;1.002.972;2.852.370;424.619;105.348.410;257.518;0;2.293.147;5.072.995;0;7.623.659;36.187.106;12.253.547;11.503.404;23.756.951;2.562;32.988;7.657.194;2.268.842;27.819.108;7.097.545;7.338.313;-159.115;2.713.077;517.707;1.043.832;71.630;52.598;2.300;0;-1.675.470;-154.843;-489.991;0;-504.488;-895.137;681.215;123.510;133.396;-240.900;-375.638;-112.571;29.793;186.157;-647.874;-222.912;-13.999;-236.911;159.870;-82.077;-159.115;1.447;27;201309;13,9;3,5;;
30403;B-I;CITIBANK;C;3;;201309;SAO PAULO;SP;64.919.935;66.918.679;579.179;10.287.015;17.689.130;4.051.213;82;14.030.765;-1.679.995;0;20.542.644;25.134;133.301;1.260.211;59.169.400;4.861.313;1.207.019;105.556;8.420.027;171.750;14.765.666;8.257.746;346.359;800.873;1.147.232;390.051;1.208.292;6.387.263;3.705.870;23.307.280;7.749.279;7.871.656;48.467;1.040.036;23.774;509.831;-40.381;168.525;17.700;0;-379.631;-214.358;-19.325;0;-188.181;-174.553;743.437;320.865;145.543;-350.227;-456.264;-111.885;5.133;208.469;-406.943;98.128;388;98.516;-42.916;-7.134;48.467;6.003;128;201309;14,5;15,4;;
30173;B-I;BANRISUL;C;1;;201309;PORTO ALEGRE;RS;53.753.617;53.753.617;686.747;1.854.480;18.403.491;4.790.839;99.182;24.664.585;-1.522.960;26.379;3.828.170;204.065;131.744;613.273;48.744.218;2.762.546;6.678.844;308.640;19.794.674;3.034;29.547.739;5.324.600;1.789.377;610.470;2.399.847;511.298;418.799;3.242.811;42.560;7.256.563;5.009.399;4.983.839;182.969;1.151.116;13.605;421.657;10.495;19.122;90.812;15.575;-698.771;-69.408;-9.778;0;-1.710;-47.013;895.702;32.657;206.932;-354.942;-285.205;-67.065;14.816;99.859;-268.058;274.696;-1.872;272.824;-70.960;-18.895;182.969;12.206;503;201309;19,6;8,6;;
30771;B-I;CREDIT SUISSE;C;3;;201309;SAO PAULO;SP;37.108.913;37.503.247;2.636.874;19.470.727;4.904.214;8.284;0;4.345.373;-307.962;9.583;5.232.477;61.559;0;1.151.700;34.331.863;131.658;0;0;2.544.454;0;2.676.112;17.529.306;94.316;21.896;116.212;0;0;5.392.344;204.970;8.412.918;3.171.384;3.180.391;65.404;103.414;0;1.211.397;-468.227;31.533;0;0;-369.485;-186.064;0;0;0;-72.723;249.845;242.630;0;-195.460;-41.390;-37.526;23.062;25.623;-151.522;115.262;-31;115.231;-49.806;-23;65.404;37;2;201309;19,5;27,1;;
20107;B-I;JP MORGAN CHASE;C;3;;201309;SAO PAULO;SP;30.646.101;35.038.269;530.516;12.902.442;9.462.482;118.258;3;639.309;-31.504;0;11.314.513;4.502;0;97.748;31.567.936;195.668;0;0;2.407.902;0;2.603.571;3.355.244;0;0;0;1.989;8.245;10.133.487;2.898.989;12.566.411;3.470.333;3.470.333;-54.318;14.444;0;565.748;287.186;0;0;0;-105.303;-719.139;0;-79.731;0;-1.788;-38.583;91.343;61;-183.153;-51.398;-28.021;0;157.343;-29.581;-81.989;8;-81.981;31.256;-3.591;-54.318;711;6;201309;18,4;2,1;;
7237373;B-I;BCO DO NORDESTE DO BRASIL S.A.;I;1;;201309;FORTALEZA;CE;33.836.094;33.863.244;132.089;8.197.716;11.650.556;468.689;0;11.001.410;-821.108;26.326;2.967.608;31.285;0;234.998;31.350.333;164.627;1.631.935;1.074.666;6.906.136;1.157.673;10.935.037;1.111.438;0;1.461.266;1.461.266;61.972;31.651;3.377.806;1.864;14.369.299;2.512.912;2.727.811;103.695;427.713;0;416.587;25.817;19.547;4.751;835;-272.480;-182.282;0;0;0;-101.043;339.445;351.335;8.563;-310.864;-209.020;-56.624;0;307.022;-195.870;233.987;-277;233.710;-128.322;-1.693;103.695;10.350;223;201309;16,6;4,7;;
51183;B-I;DEUTSCHE;C;3;;201309;SAO PAULO;SP;28.717.715;29.112.398;348.324;3.686.313;2.760.075;131.407;0;1.615.613;-11.196;0;20.538.459;5.179;0;38.224;27.485.176;433.286;0;126.700;2.546.156;0;3.106.141;1.759.559;0;0;0;3.256;92.615;2.038.076;1.089.814;19.395.715;1.627.222;1.627.222;98.975;35.873;0;116.531;-30.094;124.779;0;0;-99.373;-24.217;0;0;0;26.128;149.627;60.291;106;-56.603;-31.042;-14.367;31;30.801;-24.435;114.409;-53;114.356;-15.379;0;98.975;362;2;201309;15,8;2,4;;
30290;B-I;BMG;C;2;;201309;SAO PAULO;SP;28.193.273;28.193.273;117.651;589.299;2.316.941;42.385;0;20.163.373;-855.192;12.501.911;3.110.798;1.078.957;16.183;1.612.878;24.740.353;82.375;0;75.993;6.876.462;0;7.034.830;440.001;568.009;2.041.257;2.609.266;9.516;0;41.143;269.493;14.336.103;3.452.920;3.101.176;70.847;1.447.200;12.941;126.333;-2.412;238.635;0;0;-547.888;-582;-12.521;0;-187.414;-221.255;853.037;9.004;5.427;-34.222;-485.128;-13.036;15.591;13.334;-199.185;164.822;240;165.062;-18.592;-2.005;70.847;682;20;201309;13,8;5;;
1181521;B-I;BCO COOPERATIVO SICREDI S.A.;I;2;;201309;PORTO ALEGRE;RS;15.945.625;24.404.647;16.633;10.372.352;3.018.318;658.635;0;9.994.790;-22.048;0;264.377;30;0;101.561;23.610.947;48.129;3.658.826;6.559.995;16.750;0;10.283.700;8.777.397;0;13.086;13.086;1.314;26.518;4.058.212;172;450.548;793.700;793.661;11.906;129.749;0;279.073;-694;2.039;9.646;0;-314.584;-28.287;0;0;0;-5.792;71.150;7.997;10;-19.992;-38.398;-4.766;2.651;6.412;-3.662;21.402;-3;21.399;-9.494;0;11.906;353;5;201309;16,5;11;;
31323;B-I;PANAMERICANO;C;2;;201309;SAO PAULO;SP;20.124.961;21.447.454;48.988;1.995.158;1.350.854;34.427;0;12.478.281;-962.419;634.123;4.373.190;457.341;465.105;1.206.529;18.693.764;122.533;0;5.008.766;3.328.500;0;8.459.798;1.552.580;2.061.107;2.682.145;4.743.252;155.763;9.629;106.903;30.901;3.634.938;2.753.691;1.742.203;-42.149;682.356;75.127;443.174;-49.012;15.117;0;613;-739.457;-4.171;-64.759;0;270.597;-232.414;397.171;13.985;67.288;-53.052;-372.231;-42.545;-13.465;101.302;-135.772;-37.319;-20.842;-58.161;16.401;-387;-42.149;1.008;1;201309;15,2;46;;
51516;B-I;BNP PARIBAS;C;3;;201309;SAO PAULO;SP;17.756.704;20.588.677;28.266;3.149.701;5.301.792;159.157;0;4.794.189;-293.002;0;6.712.456;310.670;328.937;96.510;17.841.991;124.357;0;48.255;4.012.524;73.584;4.258.720;3.980.059;918.338;0;918.338;6.281;60.259;777.050;2.084.093;5.757.191;2.746.686;2.750.774;49.670;296.749;51.337;89.514;23.699;90.895;0;0;-165.448;-11.994;-40.687;0;0;-98.644;235.421;50.315;19.387;-53.927;-152.615;-22.666;2.142;108.223;-111.635;74.645;2.419;77.064;-22.227;-5.165;49.670;658;11;201309;17;3,2;;
51750;B-I;BANCOOB;C;2;;201309;BRASILIA;DF;17.548.935;19.117.017;3.194;7.273.977;3.538.305;1.176.120;0;6.457.822;-39.217;0;615.776;20.477;0;70.562;18.543.049;16.601;1.819.904;11.854.681;74.319;0;13.765.504;1.864.686;0;3.346;3.346;913.961;16.149;1.284.229;0;695.173;573.968;576.931;10.056;116.838;0;215.321;0;0;4.900;0;-270.190;-9.216;0;0;-2;-3.393;54.258;47.591;21;-16.079;-37.964;-6.665;416;7.027;-31.974;16.631;388;17.019;-6.160;-803;10.056;431;4;201309;12,8;11,9;;
41856;B-I;ABC-BRASIL;C;3;;201309;SAO PAULO;SP;17.201.596;17.201.596;23.740;2.438.313;2.880.852;82.357;0;8.056.156;-156.167;0;3.729.881;53.064;0;93.399;15.336.871;70.202;0;416.209;2.959.390;0;3.445.801;111.258;1.921.479;1.440.167;3.361.646;1.112;85.018;4.324.463;205.443;3.802.129;1.864.725;1.867.276;67.329;304.361;0;150.178;-47.007;64.504;0;6.275;-161.179;-178.733;0;0;0;-18.455;119.944;34.531;2.646;-34.630;-18.794;-10.526;4.479;137.324;-128.182;106.792;-1.139;105.653;-18.780;-19.544;67.329;563;7;201309;17,3;3,1;;
32119;B-I;BIC;C;2;;201309;SAO PAULO;SP;15.574.560;15.574.560;323.359;661.292;1.987.771;124.861;0;9.416.836;-429.995;0;2.231.298;537.625;488.717;232.798;13.646.758;272.546;13.871;569.592;6.235.183;0;7.091.192;22.999;264.539;1.453.954;1.718.493;10.100;64.836;2.644.618;19.521;2.075.001;1.927.802;1.922.724;5.242;409.173;48.195;72.204;-25.777;41.085;16;359;-237.206;-53.459;-29.658;0;-21.520;-76.878;126.534;17.034;9.334;-47.124;-45.559;-17.461;242;7.595;-37.946;12.649;1.114;13.763;-8.522;0;5.242;805;36;201309;18,9;5,6;;
1023570;B-I;BCO RABOBANK INTL BRASIL S.A.;I;3;;201309;SAO PAULO;SP;14.455.661;14.893.096;17.490;2.988.359;1.575.372;7.579;0;6.766.477;-125.535;0;3.618.087;703;0;44.564;13.769.298;8.004;0;103.775;209.891;0;321.671;438.582;0;1.652.908;1.652.908;4;175.566;7.525.227;81.907;3.573.433;1.123.799;1.126.735;27.714;174.932;0;112.992;2.928;0;0;0;-59.517;-93.302;0;-13.114;0;-27.213;97.706;10.888;2.436;-33.972;-18.580;-7.381;2.763;8.512;-13.109;49.263;1;49.264;-19.470;-2.081;27.714;596;15;201309;14;0,9;;
62232889;B-I;BCO DAYCOVAL S.A;I;2;;201309;SAO PAULO;SP;13.719.567;14.519.006;94.116;3.023.217;939.460;125.240;0;7.690.412;-448.076;15.172;2.577.712;308.915;0;208.010;12.153.730;264.901;0;166.042;2.886.098;3.773;3.320.814;835.632;2.950.754;1.765.584;4.716.338;18.402;6.040;1.771.878;24.232;1.460.395;2.365.276;2.379.804;41.248;422.695;0;94.979;-33.201;30.561;0;0;-196.895;-19.011;0;0;-5.312;-137.211;156.605;6.755;13.129;-38.548;-97.649;-19.152;1.957;50.650;-24.115;49.632;1.843;51.475;-5.224;-5.002;41.248;1.127;37;201309;17,2;8,1;;
30159;B-I;BANESTES;C;1;;201309;VITORIA;ES;11.652.703;14.111.004;252.324;4.241.420;4.207.150;792.351;9;3.661.563;-206.955;0;777.116;30.676;150.089;205.262;13.209.085;1.205.055;2.089.330;14.734;4.565.463;0;7.874.582;3.833.025;156.284;47.832;204.116;113.006;9.150;505.838;0;669.368;901.919;893.871;27.834;178.515;15.740;166.497;0;4.626;7.524;0;-206.445;-3.588;-12.303;0;0;-38.497;112.069;40.152;17.906;-62.254;-48.916;-12.971;3.367;7.238;-15.164;41.427;937;42.364;-11.285;-3.245;27.834;3.602;136;201309;15,1;22,5;;
20152;B-I;MERCANTIL DO BRASIL;C;2;;201309;BELO HORIZONTE;MG;12.586.898;13.931.535;193.522;3.055.304;465.986;325.317;5.542;8.847.776;-603.777;1.797.037;1.003.375;386.352;3.579;248.560;13.061.795;591.371;279.140;80.874;7.389.549;0;8.340.934;1.344.637;218.313;239.944;458.257;91.658;7.718;72.905;4.083;2.741.602;869.740;833.860;-47.248;554.223;1.305;72.129;-2.786;306;3.370;0;-215.824;-880;-1.200;0;-46.317;-202.737;161.589;13.973;17.757;-86.056;-129.665;-4.969;3.354;18.943;-64.532;-69.606;-982;-70.588;33.457;-4.399;-47.248;4.003;187;201309;12;17,1;;
31859;B-I;SOCIETE GENERALE;C;3;;201309;SAO PAULO;SP;13.809.679;13.809.679;3.999;2.814.551;2.324.698;8.154;0;2.206.791;-259.384;28.366;6.020.537;58.638;574.286;57.410;12.880.087;5.279;0;0;791.362;0;796.641;19.981;103.500;0;103.500;1.087;1.402;4.237.229;861.504;6.858.743;929.592;932.187;-34.655;175.414;68.565;94.519;-87.318;0;0;0;-25.272;-32.601;-56.317;-18.343;0;-51.418;67.229;5.250;5.298;-34.100;-67.106;-8.553;-1.766;43.312;-43.087;-33.523;527;-32.996;-1.657;0;-34.655;427;3;201309;18,9;6;;
51293;B-I;ALFA;C;2;;201309;SAO PAULO;SP;13.723.862;13.723.862;6.280;482.512;4.692.749;99.257;0;7.259.607;-108.315;1.271;681.119;33.244;317.871;259.539;11.726.230;24.105;0;299.429;233.077;0;556.611;1.920.750;5.623.854;1.292.869;6.916.723;5.771;2.959;1.405.400;141.906;776.110;1.997.632;1.967.460;24.900;213.050;61.083;105.906;7.733;9.341;0;9;-204.793;-34.273;-51.834;0;-3.772;2.550;105.000;6.201;6.695;-38.739;-27.414;-5.776;2.599;32.031;-52.905;27.692;-903;26.789;815;-2.703;24.900;15;9;201309;20,6;11,8;;
51255;B-I;MERRILL LYNCH;C;3;;201309;SAO PAULO;SP;12.050.729;12.530.530;3.776;1.983.982;4.307.755;24.622;0;302.425;-23.604;0;5.895.452;0;0;36.122;11.177.747;90.650;0;27.729;924.528;0;1.042.907;701.301;0;0;0;844;8.471;2;3.466.981;5.957.242;1.352.783;1.351.662;35.596;11.673;0;147.368;-38.466;166.053;0;0;-37.678;-131.328;0;0;0;-2;117.620;138.142;592;-88.251;-36.242;-12.702;0;22.854;-78.955;63.058;-3.645;59.413;-23.815;0;35.596;500;1;201309;18,1;2,5;;
31976;B-I;BRB;C;1;;201309;BRASILIA;DF;10.987.016;11.274.351;189.553;1.112.733;921.541;588.622;7.286;7.434.025;-326.618;5.115;1.124.496;21.396;0;201.316;10.271.603;878.284;1.438.558;85.403;5.721.793;4.229;8.128.266;312.579;180.169;102;180.271;103.391;102;102.467;0;1.444.527;1.002.748;1.003.526;30.384;443.552;0;54.107;0;1.097;5.976;0;-155.458;-640;0;0;0;-72.122;276.512;7.384;33.623;-160.562;-89.781;-20.952;10.686;20.375;-35.985;41.300;-5.908;35.392;-901;-4.108;30.384;5.145;84;201309;14,2;15,5;;
4902979;B-I;BCO DA AMAZONIA S.A.;I;1;;201309;BELEM;PA;11.264.438;11.264.438;49.751;1.464.872;5.948.549;371.653;1.439;2.144.392;-68.882;100.175;1.130.007;1.359;0;221.297;9.714.319;750.224;529.344;6.559;1.086.401;781.591;3.154.119;0;0;0;0;37.977;5.175;534.838;0;5.982.209;1.550.119;1.515.190;10.513;74.495;0;157.054;0;1.178;13;0;-46.047;-87.021;0;0;0;-16.850;82.822;100.225;17.726;-95.753;-64.146;-16.021;0;113.867;-81.997;56.723;1.072;57.795;-47.280;0;10.513;4.085;123;201309;13,4;9,1;;
50304;B-I;PINE;C;2;;201309;SAO PAULO;SP;10.382.673;10.673.844;281.078;869.056;2.796.052;5.793;0;5.094.982;-169.861;0;1.423.927;206.123;0;166.693;9.409.402;19.687;0;92.858;2.951.446;0;3.063.992;1.143.427;709.607;795.664;1.505.271;282;33.314;2.478.167;220.684;964.265;1.264.442;1.275.581;40.243;151.312;0;70.072;32.062;39.958;0;0;-149.222;-40.494;0;0;-1.871;-31.893;69.924;25.742;876;-22.195;-24.227;-2.978;5.827;6.191;-705;58.455;2.151;60.606;-9.314;-11.050;40.243;368;12;201309;15,9;11,3;;
